id,milestone,title,owner_role,priority,dependency_gates,spec_sections,deliverable_acceptance,status,evidence,source_ids,acceptance_test_ids,source_urls,test_family_candidates
N001,M0,Approve authority and tick contracts,Lead,P0,,3,Signed ADRs define end-of-tick state and the four ACK meanings,Not started,Proposed engineering task,"S02,S18",,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp ; https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html,
N002,M0,Pin and license-audit dependencies,Lead,P0,,"2,24",Commit IDs lockfiles and a component license register exist; restricted code excluded,Not started,Proposed engineering task,"S01,S15,S25,S26,S44",,https://github.com/ValveSoftware/source-sdk-2013 ; https://dev.epicgames.com/documentation/en-us/unreal-engine/downloading-source-code-in-unreal-engine ; https://raw.githubusercontent.com/Unity-Technologies/EntityComponentSystemSamples/master/LICENSE.md ; https://raw.githubusercontent.com/Unity-Technologies/CharacterControllerSamples/master/LICENSE.md ; https://github.com/FirstGearGames/FishNet/blob/main/LICENSE.md,
N003,M0,Classify simulation fields,Gameplay,P0,,5,Every state field has authority prediction visibility codec and restoration classifications,Not started,Proposed engineering task,S16,,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/intro-to-prediction.html,
N004,M0,Select one engine integration path,Engine,P0,,19,One writer per gameplay state; engine/core ownership diagram approved,Not started,Proposed engineering task,"S08,S22,S27",,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine ; https://mp-docs.dl.it.unity3d.com/netcode/2.2.0/advanced-topics/client-anticipation/ ; https://github.com/cBournhonesque/lightyear,
N005,M0,Freeze baseline fairness policy,Gameplay,P0,,14,Cover shield teleport trade and rewind rules are in the ruleset hash,Not started,Proposed engineering task,"S40,S42",,https://www.riotgames.com/en/news/peeking-valorants-netcode ; https://www.ea.com/games/apex-legends/news/servers-netcode-developer-deep-dive,T068;T069;T070;T071;T072;T073;T074;T075;T076;T077;T078;T079;T080;T081;T082
N006,M0,Declare hardware and quality envelope,QA,P0,,"21,22",Reference server/client machines network profiles and measurable gates recorded,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
N083,M0,Record Epic Replication Graph spatial ADR and provenance,Lead,P0,,"2,4,17,24",Selected basis is public Epic graph; Unity supporting only; Iris not stacked; sources/version/license boundaries explicit,Not started,Derived library implementation of selected Epic Replication Graph basis,"S09,S51,S60",,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US ; https://dev.epicgames.com/documentation/unreal-engine/migrate-to-iris-in-unreal-engine,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N084,M0,Approve class routes disclosure observers and graph budgets,Lead,P0,,"3,4,17,21",Every actor class and event declares route field policy cull limits observer entitlement and prediction fallback,Not started,Derived library implementation of selected Epic Replication Graph basis,"S59,S61,S62",,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UBasicReplicationGraph ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FConnectionReplicationActorInfo,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T102;T103;T104;T105;T106;T107;T108;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N007,M1,Implement strongly typed tick and identity primitives,Runtime,P0,M0,3,Serial-wrap epoch and generation unit tests pass,Not started,Proposed engineering task,S04,,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/shared/usercmd.h,
N008,M1,Implement deterministic command/state model,Gameplay,P0,M0,5,Repeated command traces produce identical canonical state,Not started,Proposed engineering task,,,,
N009,M1,Implement canonical checkpoint codec,Runtime,P0,M0,"5,16",Round-trip every field; reject invalid schema without partial mutation,Not started,Proposed engineering task,S39,,https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/qcommon/msg.c,T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093
N010,M1,Implement complete transactional restore,Gameplay,P0,M0,"5,9",Restore at every tick and replay to the original final digest,Not started,Proposed engineering task,S02,,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040
N011,M1,Implement shared capsule movement,Gameplay,P0,M0,11,Walk brake jump air control crouch slope and step maps pass,Not started,Proposed engineering task,"S05,S24",,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/shared/gamemovement.cpp ; https://raw.githubusercontent.com/Unity-Technologies/CharacterControllerSamples/master/_Documentation/Tutorial/tutorial-netcodecharacters.md,T049;T050;T051;T052;T053;T054;T055;T056;T057
N012,M1,Implement deterministic collision query adapter,Gameplay,P0,M0,11,Stable contact ties and overlap resolution reproduce across supported builds,Not started,Proposed engineering task,S49,,https://rapier.rs/docs/user_guides/rust/determinism/,T049;T050;T051;T052;T053;T054;T055;T056;T057
N013,M1,Implement entity-scoped random streams,Gameplay,P0,M0,"5,13",Adding unrelated cosmetic entities does not alter shot spread,Not started,Proposed engineering task,,,,T041;T042;T043;T044;T045;T046;T047;T048
N014,M1,Implement deterministic system scheduling,Runtime,P0,M0,"5,8",Stage order is fixed and worker extraction observes only committed state,Not started,Proposed engineering task,S07,,https://www.gdcvault.com/play/1024001/-Overwatch-Gameplay-Architecture-and,
N015,M1,Create replay command-line runner,QA,P0,M0,20,Replay file identifies first divergent tick and field,Not started,Proposed engineering task,,,,T102;T103;T104;T105;T106;T107;T108
N060,M1,Implement persistent GridSpatialization2D-style node,Runtime,P0,M0,"4,17",Sparse influence-cell lists and static/dynamic/dormancy routing; prepared once; exact eligibility matches oracle without world-wide per-client scans,Not started,Proposed engineering task,"S09,S51,S52",T114;T116;T117;T118;T119;T126,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N064,M1,Implement authoritative graph disclosure and field policy,Runtime,P0,M0,"4,17,18",Global/owner/team/required reasons never override hard field denial; the graph only outputs approved representations,Not started,Proposed engineering task,"S09,S41",,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-graph-in-unreal-engine ; https://www.riotgames.com/en/news/demolishing-wallhacks-valorants-fog-war,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T094;T095;T096;T097;T098;T099;T100;T101;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N085,M1,Implement committed change feed and once-per-frame prepare,Runtime,P0,M0,"4,8,17",Spawn/remove/teleport/bounds/cull/team/owner/dormancy changes publish before frozen gather; dynamic refresh is shared,Not started,Derived library implementation of selected Epic Replication Graph basis,"S51,S52",,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode?lang=en-US ; https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N086,M1,Implement global and per-connection actor-list nodes,Runtime,P0,M0,"4,17",Owner and approved team/custom routes work independently of spatial lists; duplicate reasons do not duplicate output,Not started,Derived library implementation of selected Epic Replication Graph basis,"S53,S54",,https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele- ; https://dev.epicgames.com/documentation/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_AlwaysRele-_1?lang=en-US,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N087,M1,Implement influence coverage and transactional routing limits,Runtime,P0,M0,17,Negative coordinates extent/cull changes and same-center-cell coverage are correct; oversized updates do not corrupt old routing,Not started,Derived library implementation of selected Epic Replication Graph basis,S52,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/UReplicationGraphNode_GridSpatia-,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N088,M1,Build independent spatial oracle and change-sequence tests,QA,P0,M0,"17,22",Randomized grid results match full-scan oracle; sparse connection gather does not visit unrelated distant actors,Not started,Derived library implementation of selected Epic Replication Graph basis,,,,T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
N089,M1,Implement bounded authorized dependency closure,Gameplay,P0,M0,"12,17",Visited-set closure handles cycles and all-or-nothing capacity; missing or denied state blocks prediction without disclosure,Not started,Derived library implementation of selected Epic Replication Graph basis,S61,,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/ReplicationGraph/FGlobalActorReplicationInfo,T023;T024;T025;T026;T027;T028;T029;T030;T031;T032;T033;T034;T035;T036;T037;T038;T039;T040;T063;T064;T083;T084;T085;T086;T087;T088;T089;T090;T091;T092;T093;T114;T115;T116;T117;T118;T119;T120;T121;T122;T123;T124;T125;T126;T127;T128;T129;T130;T131;T132;T133;T134;T135;T136;T137;T138;T139;T140;T141;T142;T143;T144;T145;T146;T147;T148;T149;T150;T151;T152;T153;T154;T155;T156;T157
