id,feature,side,library_requirement,tier,spec_sections,evidence_note,reference_ids,source_urls
F001,Shared simulation,Both,Fixed steps and explicit tick convention,Required,5,"Proposed library requirement; references establish related mechanism families, not universal game parity","S02,S16",https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp ; https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/intro-to-prediction.html
F002,Authority,Server,Server computed movement resources and damage,Required,"3,8","Proposed library requirement; references establish related mechanism families, not universal game parity",S08,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine
F003,State classification,Both,Predicted server-only interpolated derived presentation external,Required,5,"Proposed library requirement; references establish related mechanism families, not universal game parity",S16,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/intro-to-prediction.html
F004,Canonical checkpoint,Both,Full restore state and schema hash,Required,"5,9","Proposed library requirement; references establish related mechanism families, not universal game parity",S02,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp
F005,Deterministic RNG,Both,Action-scoped reproducible streams,Required,"5,13","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F006,Stable scheduling,Both,Deterministic system and collision tie order,Required,"5,11","Proposed library requirement; references establish related mechanism families, not universal game parity","S07,S49",https://www.gdcvault.com/play/1024001/-Overwatch-Gameplay-Architecture-and ; https://rapier.rs/docs/user_guides/rust/determinism/
F007,Time synchronization,Both,Monotonic offset estimator and tick epoch,Required,6,"Proposed library requirement; references establish related mechanism families, not universal game parity",S18,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html
F008,Prediction lead,Both,Server arrival-slack feedback,Required,6,"Proposed library requirement; references establish related mechanism families, not universal game parity",S18,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html
F009,Presentation clock,Client,Remote-world age separate from predicted local time,Required,"6,10","Proposed library requirement; references establish related mechanism families, not universal game parity","S18,S46",https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/time-synchronization.html ; https://gafferongames.com/post/snapshot_interpolation/
F010,Input capture,Client,Timestamped immutable held controls and edges,Required,7,"Proposed library requirement; references establish related mechanism families, not universal game parity","S04,S19",https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/shared/usercmd.h ; https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/command-stream.html
F011,Command redundancy,Both,Independently decodable repeated recent commands,Required,7,"Proposed library requirement; references establish related mechanism families, not universal game parity",S19,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/command-stream.html
F012,Input finalization,Both,Executed substituted rejected distinct from received,Required,7,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F013,Input admission,Server,Ownership epoch sequence target numeric validation,Required,"7,18","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F014,Missing input,Server,Bounded held fallback and no repeated edges,Required,7,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F015,Clock resync,Both,Controlled recovery without rewriting issued commands,Required,"6,9","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F016,Local prediction,Client,Shared forward simulation of owner group,Required,9,"Proposed library requirement; references establish related mechanism families, not universal game parity","S02,S16,S38",https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp ; https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/intro-to-prediction.html ; https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/cgame/cg_predict.c
F017,Reconciliation,Client,Restore authoritative K then replay K+1 to P,Required,9,"Proposed library requirement; references establish related mechanism families, not universal game parity","S02,S38",https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/client/prediction.cpp ; https://raw.githubusercontent.com/id-Software/Quake-III-Arena/master/code/cgame/cg_predict.c
F018,Prediction history,Client,Commands full state lifecycle and dependency versions,Required,9,"Proposed library requirement; references establish related mechanism families, not universal game parity","S17,S28,S29",https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html ; https://raw.githubusercontent.com/cBournhonesque/lightyear/main/crates/replication/prediction/src/lib.rs ; https://raw.githubusercontent.com/cBournhonesque/lightyear/main/crates/replication/prediction/src/rollback.rs
F019,Partial snapshots,Both,Atomic prediction-group publication,Required,12,"Proposed library requirement; references establish related mechanism families, not universal game parity",S17,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html
F020,Dependency closure,Both,Historical/read-only boundary or coherent group,Required,12,"Proposed library requirement; references establish related mechanism families, not universal game parity",S17,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-details.html
F021,Dynamic groups,Both,Versioned merge/split at coherent tick,Advanced,12,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F022,Replay work cap,Client,Finite replay CPU and explicit recovery,Required,9,"Proposed library requirement; references establish related mechanism families, not universal game parity",S16,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/intro-to-prediction.html
F023,Visual correction,Client,Separate render error offset,Required,10,"Proposed library requirement; references establish related mechanism families, not universal game parity",S21,https://docs.unity3d.com/Packages/com.unity.netcode@1.5/manual/prediction-smoothing.html
F024,Remote interpolation,Client,Ordered snapshot buffer and compatible pose interpolation,Required,10,"Proposed library requirement; references establish related mechanism families, not universal game parity",S46,https://gafferongames.com/post/snapshot_interpolation/
F025,Bounded extrapolation,Client,Explicit starvation cap and degraded state,Required,10,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F026,Camera policy,Client,Immediate aim and collision-safe visual correction,Required,10,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F027,Kinematic controller,Both,Sweeps steps slopes crouch jump and depenetration,Required,11,"Proposed library requirement; references establish related mechanism families, not universal game parity","S05,S24",https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/shared/gamemovement.cpp ; https://raw.githubusercontent.com/Unity-Technologies/CharacterControllerSamples/master/_Documentation/Tutorial/tutorial-netcodecharacters.md
F028,Moving platforms,Both,Base-local state and historical base motion,Required,11,"Proposed library requirement; references establish related mechanism families, not universal game parity",S08,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine
F029,Remote collision proxies,Client,Separate from delayed rendered positions,Required,11,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F031,Root motion,Both,Deterministic movement source separate from visual blend,Gameplay-dependent,13,"Proposed library requirement; references establish related mechanism families, not universal game parity",S08,https://dev.epicgames.com/documentation/en-us/unreal-engine/understanding-networked-movement-in-the-character-movement-component-for-unreal-engine
F032,Ability prediction,Both,Explicit state resource phase cooldown and rejection,Required,13,"Proposed library requirement; references establish related mechanism families, not universal game parity",S11,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/GameplayAbilities/FPredictionKey
F033,Event deduplication,Client,Stable semantic prediction keys,Required,13,"Proposed library requirement; references establish related mechanism families, not universal game parity",S11,https://dev.epicgames.com/documentation/en-us/unreal-engine/API/Plugins/GameplayAbilities/FPredictionKey
F034,Persistent effects,Both,State reconstruction at relevance entry,Required,"10,17","Proposed library requirement; references establish related mechanism families, not universal game parity",S41,https://www.riotgames.com/en/news/demolishing-wallhacks-valorants-fog-war
F035,Predicted spawning,Both,Action-key to authoritative entity binding,Required,15,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F036,Entity generations,Both,No stale identity resurrection,Required,15,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F037,Lifecycle history,Both,Ticked spawn despawn parenting ownership components,Required,15,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
F038,Reconnection,Both,New epoch complete state and outcome lookup,Required,"15,18","Proposed library requirement; references establish related mechanism families, not universal game parity",,
F039,Hitscan authority,Server,Authoritative origin eligibility and damage transactions,Required,14,"Proposed library requirement; references establish related mechanism families, not universal game parity",S03,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/server/player_lagcompensation.cpp
F040,Historical collision,Server,Immutable poses and blockers with discontinuity segments,Required,14,"Proposed library requirement; references establish related mechanism families, not universal game parity",S03,https://raw.githubusercontent.com/ValveSoftware/source-sdk-2013/master/src/game/server/player_lagcompensation.cpp
F041,View-time validation,Server,Untrusted client times bounded by server-observed envelope,Required,14,"Proposed library requirement; references establish related mechanism families, not universal game parity",,
